Cppf_phi1,Cppf_phi2,Cppf_phi3,Cppf_phi4,Cppf_theta1,Cppf_theta2,Cppf_theta3,Cppf_theta4,cluster_size1,cluster_size2,cluster_size3,cluster_size4,Deltaphi12,Deltaphi23,Deltaphi34,Deltatheta12,Deltatheta23,Deltatheta34
248,239,248,239,18,17,18,18,1,2,2,1,9,-9,9,1,-1,0
365,360,360,360,13,14,12,13,2,3,1,1,5,0,0,-1,2,-1
764,759,759,754,13,14,12,13,2,2,2,4,5,0,5,-1,2,-1
623,623,628,623,18,19,18,19,2,1,2,2,0,-5,5,-1,1,-1
243,224,229,229,14,14,13,13,1,2,2,1,19,-5,0,0,1,0
300,290,286,290,18,19,18,19,1,1,1,1,10,4,-4,-1,1,-1
182,1073,1078,1078,14,14,15,13,2,2,1,1,-891,-5,0,0,-1,2
998,993,993,993,17,16,18,18,3,1,3,1,5,0,0,1,-2,0
1021,1017,1026,1031,20,19,18,18,1,3,1,1,4,-9,-5,1,1,0
773,759,778,764,13,14,13,13,1,2,2,1,14,-19,14,-1,1,0
665,660,656,651,17,16,15,16,3,4,2,2,5,4,5,1,1,-1
586,571,562,557,14,14,15,13,2,3,2,2,15,9,5,0,-1,2
609,604,595,600,14,14,13,13,2,1,1,1,5,9,-5,0,1,0
848,843,848,848,21,19,20,18,2,2,1,1,5,-5,0,2,-1,2
553,548,548,548,18,19,18,18,1,1,3,5,5,0,0,-1,1,0
257,243,234,234,14,14,15,13,5,3,1,1,14,9,0,0,-1,2
754,750,750,750,20,19,20,18,2,2,2,1,4,0,0,1,-1,2
600,590,590,590,14,17,15,16,1,2,3,1,10,0,0,-3,2,-1
904,904,904,900,21,19,20,19,1,1,2,3,0,0,4,2,-1,1
224,562,201,196,14,14,13,13,1,1,3,1,-338,361,5,0,1,0
215,206,201,196,14,14,13,13,2,1,2,2,9,5,5,0,1,0
796,787,787,787,14,14,13,13,2,2,1,2,9,0,0,0,1,0
239,234,229,229,14,14,15,13,2,3,1,2,5,5,0,0,-1,2
937,937,937,937,13,14,12,13,1,2,1,1,0,0,0,-1,2,-1
576,571,571,539,18,19,18,18,1,1,1,1,5,0,32,-1,1,0
970,182,960,951,17,17,18,18,3,1,2,2,788,-778,9,0,-1,0
600,586,637,670,21,19,20,21,2,2,1,2,14,-51,-33,2,-1,-1
759,759,759,754,17,19,18,18,3,3,2,2,0,0,5,-2,1,0
417,412,417,412,17,16,18,16,3,3,1,2,5,-5,5,1,-2,2
984,979,979,979,20,19,20,18,1,1,1,2,5,0,0,1,-1,2
520,510,496,492,18,17,18,16,1,1,1,2,10,14,4,1,-1,2
618,618,618,614,21,19,21,21,2,3,2,2,0,0,4,2,-2,0
881,1064,876,876,18,19,18,18,2,1,1,2,-183,188,0,-1,1,0
360,351,370,374,17,16,15,16,1,1,2,1,9,-19,-4,1,1,-1
829,824,824,824,18,17,18,19,1,3,1,1,5,0,0,1,-1,-1
993,993,993,989,13,14,15,13,3,1,2,2,0,0,4,-1,-1,2
